protein,l2FC,Q1,Q3,p,padj
CPVL,0.24301910386868109,0.1453149514983778,0.9773487492161212,0.2222222222222222,0.42818428184281837
CR847511.1,0.3662256953593346,0.31719079679877815,0.6666070737169782,0.015873015873015872,0.1122956645344705
CRATB,0.6644202970323949,0.050686397970583386,1.323131889601738,0.09523809523809523,0.28937728937728935
CRTAC1A,0.9677701668299221,0.48750752631449146,1.227084753518902,0.05555555555555555,0.21944444444444444
CS,0.5837122337824869,0.2982608054812932,1.0535453789517746,0.05555555555555555,0.21944444444444444
CT027762.3,1.169990659302826,0.22428295297492085,1.5648736834632722,0.09523809523809523,0.28937728937728935
CTH,0.047573842267295774,-0.21057403865928137,0.9112430483499612,0.8412698412698413,0.8900935374149659
CTTN,-0.4871601965724093,-0.6271896185574661,0.17071619258637405,0.42063492063492064,0.6078687572590011
DBI,-1.0684290059192367,-1.3521485216536178,-0.6737269701816331,0.015873015873015872,0.1122956645344705
DDAH2,0.130542371388227,-0.012064101587526466,0.8491840330743798,0.30952380952380953,0.5024461839530333
DHDH,-0.10205080779791409,-0.39485627245618105,0.48549833547064836,1,1
DLGAP4A,0.2948900189903654,0.0738754568699207,0.6024669888732639,0.05555555555555555,0.21944444444444444
DSC2L,-0.16315586078753697,-0.6313818834939404,0.2947006693616814,0.42063492063492064,0.6078687572590011
DYNC1I2A,-0.7292414209577505,-0.8585484308372937,0.08439098033288062,0.30952380952380953,0.5024461839530333
ECM1,0.06845408072836534,-0.26694394874734684,0.6565804963702391,0.5476190476190477,0.6959019532746075
EEF1A1L1,-0.6578905011349505,-1.0341770267055175,-0.20043702255103923,0.15079365079365079,0.33874971789663727
EEF1G,-0.5015198121845952,-0.8153102090731732,-0.4173195122326625,0.007936507936507936,0.08956916099773243
EEF2,-0.4111389763588953,-1.0815193384216641,-0.2046401445260031,0.015873015873015872,0.1122956645344705
EHD1,-0.33069897711266627,-0.6861293960862529,0.20801628658721327,0.42063492063492064,0.6078687572590011
EIF4B,-0.8498890813607893,-1.4405017949928602,-0.15646586580617772,0.2222222222222222,0.42818428184281837
EIF5A2,-0.7711045878184564,-0.9660705129681482,0.09084911282010921,0.30952380952380953,0.5024461839530333
ENO1A,-0.47749708030851323,-1.0520167495195096,-0.201679718734308,0.05555555555555555,0.21944444444444444
ENO3,0.028810614050168937,-0.837235458646564,0.3253629126864013,0.8412698412698413,0.8900935374149659
ENPP2,0.9989725423344034,0.5877026246721542,1.0892774072943148,0.015873015873015872,0.1122956645344705
EPD,0.8893335539980605,0.5828209532994677,1.2887884391572548,0.007936507936507936,0.08956916099773243
EPDR1,1.3763957291088111,1.1581147063978552,1.6104322180236323,0.007936507936507936,0.08956916099773243
EVPLA,-0.8606786213953637,-1.2868359924099675,-0.36687566306022923,0.031746031746031744,0.16535845107273678
EWSR1B,0.2645358649194751,-0.27961036125168626,0.6837250352557955,0.6904761904761905,0.8081128747795414
F10,0.7830147403725114,0.15217392211861025,1.2895646375791543,0.09523809523809523,0.28937728937728935
F13A1B,0.713172420851965,0.3271260002238865,1.3650329920571718,0.05555555555555555,0.21944444444444444
F2,0.7553061113067301,0.35527076638222965,1.047902448417684,0.05555555555555555,0.21944444444444444
F5,1.2592967454266741,0.5307674319657636,1.8431932440797567,0.031746031746031744,0.16535845107273678
FABP10A,0.6993630726827291,-0.6534504832066617,1.9260959950345509,0.5476190476190477,0.6959019532746075
FABP2,0.1458890748847157,-0.6808016549507663,0.6062525490471984,1,1
FABP3,-0.15790109250185225,-0.2555730289202902,0.9792373872518354,0.8412698412698413,0.8900935374149659
FAH,0.12723681356351513,-0.9913211556168644,0.21430723307440935,0.5476190476190477,0.6959019532746075
FBLN1,0.22107985332511326,-0.11466061364252056,0.7474106410736212,0.42063492063492064,0.6078687572590011
FETUB,0.7920671665636867,0.464084583374369,1.1308668374878863,0.015873015873015872,0.1122956645344705
FGA,0.5911959230398018,0.1104756900369992,0.9972840600042936,0.15079365079365079,0.33874971789663727
FGB,3.609181316124541,0.9328612931613449,4.448840469893334,0.031746031746031744,0.16535845107273678
FGG,4.229016445421884,2.070989500976811,5.1690460523184925,0.015873015873015872,0.1122956645344705
FHL1A,0.39205900744488886,0.32013839090061325,0.9931058057843138,0.007936507936507936,0.08956916099773243
FKBP4,-0.834891406815542,-0.9614426345172777,-0.5377087353761016,0.007936507936507936,0.08956916099773243
FLNA,-0.09274630337594303,-0.6245825216356966,0.26702187725354065,0.8412698412698413,0.8900935374149659
FLRT3,0.06912622170551685,-0.6463412957230723,0.7509959687334948,0.8412698412698413,0.8900935374149659
FN1B,0.6157529985903203,0.1405299422337798,1.1604956778023627,0.09523809523809523,0.28937728937728935
FP067396.1,1.6674399263170177,0.6294117251974001,1.8294135827002762,0.15079365079365079,0.33874971789663727
FSCN1A,0.6956532364141559,0.05540662698436982,0.8333294595669987,0.2222222222222222,0.42818428184281837
FTL,1.5964408124994414,-0.70823852204982,2.86283595248587,0.42063492063492064,0.6078687572590011
G6PD,0.7263656218306167,0.36614768780859563,0.8639158956779625,0.015873015873015872,0.1122956645344705
GANAB,0.25728075925293226,-0.17963739604871165,0.571944809961261,0.6904761904761905,0.8081128747795414
GAPDH,-0.8828143457750031,-1.1403146417430037,0.19833604569030427,0.30952380952380953,0.5024461839530333
GAPDHS,0.1202153195814546,-0.154410318725553,0.47249880517701115,0.42063492063492064,0.6078687572590011
GB-BETA4,-2.0998322089768315,-3.092358166470749,-1.900390524129545,0.05555555555555555,0.21944444444444444
GCGA,-0.36608496326839024,-1.3544563055681795,-0.11320338849842493,0.15079365079365079,0.33874971789663727
GDI1,-0.0817790856359224,-0.738410094653176,0.8886867056888264,1,1
GLRX3,-0.6477163301756654,-0.9452252302244695,-0.36628835985156627,0.15079365079365079,0.33874971789663727
GLUD1B,0.45862975407518647,-0.42092460822469846,0.8016958230814595,0.5476190476190477,0.6959019532746075
GOT1,-0.6525093263045854,-1.2480340482286927,0.3659643990300516,0.30952380952380953,0.5024461839530333
GPD1B,-0.04972310263940827,-0.7320138609627165,0.2409668232379687,0.6904761904761905,0.8081128747795414
GPD1C,-0.27790909380639484,-0.42378694208522205,0.15731068850307395,1,1
GPI,-0.8404193571020162,-1.113635339230017,-0.1325982681436173,0.05555555555555555,0.21944444444444444
GPX1A,0.5639796252500453,0.15556916323847858,1.1549206130909653,0.09523809523809523,0.28937728937728935
GPX1B,0.4539721683473523,0.37838012692354006,0.751460444403989,0.09523809523809523,0.28937728937728935
