protein,l2FC,Q1,Q3,p,padj
ACTN4,0.8762866434723868,0.5654633112541667,1.003487460024406,0.007936507936507936,0.034027966263558404
ACTR1,0.4615276457315396,0.41977092036729147,0.5748399525207617,0.007936507936507936,0.034027966263558404
ACTR10,0.7736954871867905,0.5607272100601293,0.9472258693499231,0.007936507936507936,0.034027966263558404
ACTR2,0.18560670959610803,0.14462988410294741,0.3324507753740278,0.007936507936507936,0.034027966263558404
ACTR3,0.7655392740749711,0.6571630701105704,0.856991296552291,0.007936507936507936,0.034027966263558404
ACVRL1,0.64536354590415,0.4956045649955474,0.9576674092755884,0.007936507936507936,0.034027966263558404
ACY1,-0.06452169475169,-0.24883454993753062,0.227595717296321,0.8412698412698413,0.8830072597514458
ACY3,-0.12413983410097273,-0.24336333740794203,0.32255224743379785,0.8412698412698413,0.8830072597514458
ADA,-0.4390505727987417,-0.7136239710270509,-0.24494169423828893,0.015873015873015872,0.051195958770994504
ADAM10A,-0.421619258859689,-0.48032182356397257,-0.3476053061250859,0.007936507936507936,0.034027966263558404
ADAM17A,0.4509375972426142,0.22344289482172996,0.6300401054766347,0.09523809523809523,0.18343155185260446
ADAM17B,0.37743446474751785,0.09256881703646158,0.4658726750811617,0.09523809523809523,0.18343155185260446
ADAM19B,-0.14071228842730932,-0.3557799390509686,-0.044910878335539195,0.2222222222222222,0.32486384030327026
ADAM28,-0.2767849616924387,-0.4555948565520609,-0.20516708204833733,0.007936507936507936,0.034027966263558404
ADAM8A,-1.1250463352859903,-1.20903898180104,-0.9662811038189183,0.007936507936507936,0.034027966263558404
ADAM9,0.5726243504300825,0.2003958016092895,0.7922095275421697,0.15079365079365079,0.24347078842666725
ADAMTS10,0.5989780496438435,0.48215214023239383,0.7727752847692102,0.007936507936507936,0.034027966263558404
ADAP1,0.9858685863929075,0.6889287544241895,1.0185693241136988,0.007936507936507936,0.034027966263558404
ADAR,-0.2434114409835786,-0.33065228129265023,-0.197928886664279,0.007936507936507936,0.034027966263558404
ADARB1B,-0.19355763842020224,-0.22443817178189107,0.19152673882813076,1,1
ADAT2,-0.3792886830853508,-0.48587688973040954,-0.2738727274986612,0.007936507936507936,0.034027966263558404
ADCK3,0.13904258672285863,0.0049524684539683506,0.2938752743832431,0.15079365079365079,0.24347078842666725
ADCK4,-0.009611365467971922,-0.11130296310919974,0.13120730420173032,1,1
ADCY6B,0.5979798472116116,0.40303323174427064,0.7155928510904701,0.007936507936507936,0.034027966263558404
ADCY7,0.40127657754693047,0.295962257867572,0.4963433761639884,0.05555555555555555,0.1246639413692778
ADCY9,-0.4234720829930918,-0.6246616665691729,0.4232619070340391,0.8412698412698413,0.8830072597514458
ADD1,-0.354595814920458,-0.3724963036034197,-0.04902739997555017,0.15079365079365079,0.24347078842666725
ADD2,-0.7000671585408291,-0.9228715098226274,0.9568774492870311,1,1
ADD3A,0.34889932067586926,0.12290749376814958,0.4582059210495686,0.031746031746031744,0.08356167765187983
ADD3B,-0.07550383934842841,-0.3688151031852591,0.38539498782068016,1,1
ADH5,0.05959722613161844,-0.030302126139460484,0.17981192666449886,0.5476190476190477,0.6446497917546431
ADI1,-0.13632056460128084,-0.17290846420323192,0.041161461154494816,0.5476190476190477,0.6446497917546431
ADK,-0.5678441109387293,-0.6126571432925871,-0.15663613209870775,0.031746031746031744,0.08356167765187983
ADKA,0.16078267882024022,0.09229740937606934,0.3536720981309287,0.09523809523809523,0.18343155185260446
ADNP2B,-0.40057634462440994,-0.5141814195726919,-0.299046455613329,0.007936507936507936,0.034027966263558404
ADNPA,-0.39228594916793114,-0.4775114947547401,-0.26408619556397994,0.007936507936507936,0.034027966263558404
ADNPB,-0.3639282556184096,-0.44017144185888135,-0.20203227431750115,0.15079365079365079,0.24347078842666725
ADOA,0.1349328270268888,-0.12267855806813088,0.42150413959293864,0.5476190476190477,0.6446497917546431
ADOB,0.15494226246588028,-0.02513743522059997,0.3323590696715506,0.30952380952380953,0.4197668650793651
ADPGK,0.3255760519633384,0.24259448156055186,0.5048141179265002,0.031746031746031744,0.08356167765187983
ADPGK2,-0.22366930847224964,-0.348919104656531,0.126276239808508,0.6904761904761905,0.7649359858490934
ADPRH,0.22732326420818794,-0.061558461127731334,0.29727264271197384,0.5476190476190477,0.6446497917546431
ADPRHL2,-0.02274194795854001,-0.06180765709899916,0.11049117755181115,1,1
ADRBK2,0.3420973427313214,0.07523893423945793,0.42068855044198017,0.2222222222222222,0.32486384030327026
ADRM1,-0.10898140825567992,-0.2979299642915585,-0.091388764159678,0.007936507936507936,0.034027966263558404
ADSL,0.3731229857887115,0.3053076465337021,0.46514266378711966,0.007936507936507936,0.034027966263558404
ADSS,0.11622538516657954,0.0018632240044809123,0.12294258895959942,0.2222222222222222,0.32486384030327026
ADSSL,-0.1626392848216902,-0.36497525045581014,-0.08925558791561983,0.015873015873015872,0.051195958770994504
AFF4,-0.7833469732647309,-0.8697708427362407,-0.016106475099931572,0.2222222222222222,0.32486384030327026
AFG3L2,0.005240910977150293,-0.3139169935319224,0.19093267362516997,1,1
AFTPHA,-0.07670020486578011,-0.21866446549678997,0.04949881677573842,0.42063492063492064,0.5304952333640859
AGA,0.21841327047327042,-0.11405205316388844,0.3638539454063583,0.6904761904761905,0.7649359858490934
AGAP2,-0.11635195756528205,-0.22756429861900074,-0.045315666124540854,0.15079365079365079,0.24347078842666725
AGFG1A,1.274689185506709,0.9706991179192421,1.5565340816082696,0.007936507936507936,0.034027966263558404
AGFG1B,-0.06208247763590258,-0.20866221237027993,0.14691589477466138,0.8412698412698413,0.8830072597514458
AGGF1,0.6504676300561414,0.5500725861224289,0.7112147018112793,0.007936507936507936,0.034027966263558404
AGK,0.2721190671659208,0.0748078393815419,0.5850149012661703,0.2222222222222222,0.32486384030327026
AGLA,0.6186328097128708,0.4857095441325896,0.6812265575955507,0.007936507936507936,0.034027966263558404
AGMAT,0.5745142380326627,0.013475198929491228,1.4290531380248908,0.2222222222222222,0.32486384030327026
AGPAT2,-0.07807801203060905,-0.13991016592310856,0.1903555596758295,1,1
AGPAT3,0.4584475775351784,0.23880887383355187,0.7090730769070674,0.05555555555555555,0.1246639413692778
AGPAT4,2.304108869707509,1.2554535492975365,2.554331884782501,0.15079365079365079,0.24347078842666725
AGPAT5,-0.1359946057967285,-0.21095141733673017,0.09350753326852157,0.6904761904761905,0.7649359858490934
